code,gana,gana_name,dhatu_slp1,dhatu_iast,dhatu_deva,artha_slp1,artha_iast,artha_deva,core_root
01.0064,1,bhvādi,adi~,adi,अदि,banDane,bandhane,बन्धने,ad
02.0001,2,adādi,a\da~,ada,अद,BakzaRe,bhakṣaṇe,भक्षणे,ad
05.0016,5,svādi,A\px~,āpḷ,आपॢ,vyAptO,vyāptau,व्याप्तौ,Ap
10.0376,10,curādi,Apx~,āpḷ,आपॢ,lamBane,lambhane,लम्भने,Ap
01.0232,1,bhvādi,arca~,arca,अर्च,pUjAyAm,pūjāyām,पूजायाम्,arc
10.0340,10,curādi,arca~,arca,अर्च,pUjAyAm,pūjāyām,पूजायाम्,arc
01.1029,1,bhvādi,asa~^,asa,अस,gatidIptyAdAnezu,gatidīptyādāneṣu,गतिदीप्त्यादानेषु,as
02.0011,2,adādi,Asa~\,āsa,आस,upaveSane,upaveśane,उपवेशने,As
02.0060,2,adādi,asa~,asa,अस,Buvi,bhuvi,भुवि,as
04.0106,4,divādi,asu~,asu,असु,kzepaRe,kṣepaṇe,क्षेपणे,as
02.0046,2,adādi,BA\,bhā,भा,dIptO,dīptau,दीप्तौ,BA
01.1153,1,bhvādi,Ba\ja~^,bhaja,भज,sevAyAm,sevāyām,सेवायाम्,Baj
10.0259,10,curādi,Baja~,bhaja,भज,viSrARane,viśrāṇane,विश्राणने,Baj
10.0290,10,curādi,Baji~,bhaji,भजि,BAzAyAm,bhāṣāyām,भाषायाम्,Baj
01.1039,1,bhvādi,Bakza~^,bhakṣa,भक्ष,adane,adane,अदने,Bakz
10.0033,10,curādi,Bakza~,bhakṣa,भक्ष,adane,adane,अदने,Bakz
09.0044,9,kryādi,ba\nDa~,bandha,बन्ध,banDane,bandhane,बन्धने,banD
10.0021,10,curādi,banDa~,bandha,बन्ध,saMyamane,saṃyamane,संयमने,banD
01.0696,1,bhvādi,BAza~\,bhāṣa,भाष,vyaktAyAM vAci,vyaktāyāṃ vāci,व्यक्तायां वाचि,BAz
01.0255,1,bhvādi,Bfzu~,bhṛṣu,भृषु,saNGarze,saṅgharṣe,सङ्घर्षे,Bf
01.1045,1,bhvādi,Bf\Y,bhṛñ,भृञ्,BaraRe,bharaṇe,भरणे,Bf
03.0006,3,juhotyādi,quBf\Y,ḍubhṛñ,डुभृञ्,DAraRapozaRayoH,dhāraṇapoṣaṇayoḥ,धारणपोषणयोः,Bf
04.0136,4,divādi,BfSu~,bhṛśu,भृशु,aDaHpatane,adhaḥpatane,अधःपतने,Bf
10.0318,10,curādi,BfSi~,bhṛśi,भृशि,BAzAyAm,bhāṣāyām,भाषायाम्,Bf
01.0067,1,bhvādi,Bidi~,bhidi,भिदि,avayave,avayave,अवयवे,Bid
07.0002,7,rudhādi,Bi\di~^r,bhidir,भिदिर्,vidAraRe,vidāraṇe,विदारणे,Bid
02.0039,2,adādi,brUY,brūñ,ब्रूञ्,vyaktAyAM vAci,vyaktāyāṃ vāci,व्यक्तायां वाचि,brU
01.0001,1,bhvādi,BU,bhū,भू,sattAyAm,sattāyām,सत्तायाम्,BU
10.0277,10,curādi,BU,bhū,भू,avakalkane,avakalkane,अवकल्कने,BU
10.0382,10,curādi,BU,bhū,भू,prAptO,prāptau,प्राप्तौ,BU
01.0994,1,bhvādi,buDa~,budha,बुध,avagamane,avagamane,अवगमने,buD
01.1016,1,bhvādi,buDi~^r,budhir,बुधिर्,boDane,bodhane,बोधने,buD
04.0068,4,divādi,bu\Da~\,budha,बुध,avagamane,avagamane,अवगमने,buD
06.0153,6,tudādi,Bu\jo~,bhujo,भुजो,kOwilye,kauṭilye,कौटिल्ये,Buj
07.0017,7,rudhādi,Bu\ja~,bhuja,भुज,pAlanAByavahArayoH,pālanābhyavahārayoḥ,पालनाभ्यवहारयोः,Buj
02.0007,2,adādi,ca\kzi~\N,cakṣiṅ,चक्षिङ्,vyaktAyAM vAci,vyaktāyāṃ vāci,व्यक्तायां वाचि,cakz
01.0924,1,bhvādi,cala~,cala,चल,kampane,kampane,कम्पने,cal
01.0966,1,bhvādi,cala~,cala,चल,kampane,kampane,कम्पने,cal
06.0083,6,tudādi,cala~,cala,चल,vilasane vikasane ca,vilasane vikasane ca,विलसने विकसने च,cal
10.0097,10,curādi,cala~,cala,चल,BftO,bhṛtau,भृतौ,cal
01.0640,1,bhvādi,cara~,cara,चर,gatO BakzaRe ca,gatau bhakṣaṇe ca,गतौ भक्षणे च,car
10.0274,10,curādi,cara~,cara,चर,saMSaye,saṃśaye,संशये,car
05.0005,5,svādi,ci\Y,ciñ,चिञ्,cayane,cayane,चयने,ci
05.0034,5,svādi,ciri,ciri,चिरि,hiMsAyAm,hiṃsāyām,हिंसायाम्,ci
10.0124,10,curādi,ciY,ciñ,चिञ्,cayane,cayane,चयने,ci
10.0325,10,curādi,ci,ci,चि,BAzAyAm,bhāṣāyām,भाषायाम्,ci
07.0003,7,rudhādi,Ci\di~^r,chidir,छिदिर्,dvEDIkaraRe,dvaidhīkaraṇe,द्वैधीकरणे,Cid
10.0002,10,curādi,citi~,citi,चिति,smftyAm,smṛtyām,स्मृत्याम्,cint
10.0001,10,curādi,cura~,cura,चुर,steye,steye,स्तेये,cur
01.1025,1,bhvādi,dASf~^,dāśṛ,दाशृ,dAne,dāne,दाने,dA
03.0010,3,juhotyādi,qudA\Y,ḍudāñ,डुदाञ्,dAne,dāne,दाने,dA
03.0011,3,juhotyādi,quDA\Y,ḍudhāñ,डुधाञ्,DAraRapozaRayoH,dhāraṇapoṣaṇayoḥ,धारणपोषणयोः,DA
01.1146,1,bhvādi,da\ha~,daha,दह,BasmIkaraRe,bhasmīkaraṇe,भस्मीकरणे,dah
10.0166,10,curādi,dahi~,dahi,दहि,rakzaRe mokzaRe ca,rakṣaṇe mokṣaṇe ca,रक्षणे मोक्षणे च,dah
