code,gana,gana_name,dhatu_slp1,dhatu_iast,dhatu_deva,artha_slp1,artha_iast,artha_deva
01.0001,1,bhvādi,BU,bhū,भू,sattAyAm,sattāyām,सत्तायाम्
01.0002,1,bhvādi,eDa~\,edha,एध,vfdDO,vṛddhau,वृद्धौ
01.0003,1,bhvādi,sparDa~\,spardha,स्पर्ध,saNGarze,saṅgharṣe,सङ्घर्षे
01.0004,1,bhvādi,gADf~\,gādhṛ,गाधृ,pratizWAlipsayorgranTe ca,pratiṣṭhālipsayorgranthe ca,प्रतिष्ठालिप्सयोर्ग्रन्थे च
01.0005,1,bhvādi,bADf~\,bādhṛ,बाधृ,"loqane, rowane",loḍane roṭane,"लोडने, रोटने"
01.0006,1,bhvādi,nADf~\,nādhṛ,नाधृ,yAcYopatApESvaryASIzzu,yācñopatāpaiśvaryāśīṣṣu,याच्ञोपतापैश्वर्याशीष्षु
01.0007,1,bhvādi,nATf~\,nāthṛ,नाथृ,yAcYopatApESvaryASIzzu,yācñopatāpaiśvaryāśīṣṣu,याच्ञोपतापैश्वर्याशीष्षु
01.0008,1,bhvādi,daDa~\,dadha,दध,DAraRe,dhāraṇe,धारणे
01.0009,1,bhvādi,skudi~\,skudi,स्कुदि,ApravaRe,āpravaṇe,आप्रवणे
01.0010,1,bhvādi,Svidi~\,śvidi,श्विदि,SvEtye,śvaitye,श्वैत्ये
01.0011,1,bhvādi,vadi~\,vadi,वदि,aBivAdanastutyoH,abhivādanastutyoḥ,अभिवादनस्तुत्योः
01.0012,1,bhvādi,Badi~\,bhadi,भदि,kalyARe suKe ca,kalyāṇe sukhe ca,कल्याणे सुखे च
01.0013,1,bhvādi,madi~\,madi,मदि,stutimodamadasvapnakAntigatizu,stutimodamadasvapnakāntigatiṣu,स्तुतिमोदमदस्वप्नकान्तिगतिषु
01.0014,1,bhvādi,spadi~\,spadi,स्पदि,kiYciccalane,kiñciccalane,किञ्चिच्चलने
01.0015,1,bhvādi,klidi~\,klidi,क्लिदि,paridevane,paridevane,परिदेवने
01.0016,1,bhvādi,muda~\,muda,मुद,harze,harṣe,हर्षे
01.0017,1,bhvādi,dada~\,dada,दद,dAne,dāne,दाने
01.0018,1,bhvādi,zvada~\,ṣvada,ष्वद,AsvAdane,āsvādane,आस्वादने
01.0019,1,bhvādi,svarda~\,svarda,स्वर्द,AsvAdane,āsvādane,आस्वादने
01.0020,1,bhvādi,urda~\,urda,उर्द,mAne krIqAyAM AsvAdane ca,māne krīḍāyāṃ āsvādane ca,माने क्रीडायां आस्वादने च
01.0021,1,bhvādi,kurda~\,kurda,कुर्द,krIqAyAm eva,krīḍāyām eva,क्रीडायाम् एव
01.0022,1,bhvādi,Kurda~\,khurda,खुर्द,krIqAyAm eva,krīḍāyām eva,क्रीडायाम् एव
01.0023,1,bhvādi,gurda~\,gurda,गुर्द,krIqAyAm eva,krīḍāyām eva,क्रीडायाम् एव
01.0024,1,bhvādi,guda~\,guda,गुद,krIqAyAm eva,krīḍāyām eva,क्रीडायाम् एव
01.0025,1,bhvādi,zUda~\,ṣūda,षूद,kzaraRe,kṣaraṇe,क्षरणे
01.0026,1,bhvādi,hrAda~\,hrāda,ह्राद,avyakte Sabde,avyakte śabde,अव्यक्ते शब्दे
01.0027,1,bhvādi,hlAdI~\,hlādī,ह्लादी,avyakte Sabde suKe ca,avyakte śabde sukhe ca,अव्यक्ते शब्दे सुखे च
01.0028,1,bhvādi,svAda~\,svāda,स्वाद,AsvAdane,āsvādane,आस्वादने
01.0029,1,bhvādi,parda~\,parda,पर्द,kutsite Sabde,kutsite śabde,कुत्सिते शब्दे
01.0030,1,bhvādi,yatI~\,yatī,यती,prayatne,prayatne,प्रयत्ने
01.0031,1,bhvādi,yutf~\,yutṛ,युतृ,BAsane,bhāsane,भासने
01.0032,1,bhvādi,jutf~\,jutṛ,जुतृ,BAsane,bhāsane,भासने
01.0033,1,bhvādi,viTf~\,vithṛ,विथृ,yAcane,yācane,याचने
01.0034,1,bhvādi,veTf~\,vethṛ,वेथृ,yAcane,yācane,याचने
01.0035,1,bhvādi,SraTi~\,śrathi,श्रथि,SETilye,śaithilye,शैथिल्ये
01.0036,1,bhvādi,graTi~\,grathi,ग्रथि,kOwilye,kauṭilye,कौटिल्ये
01.0037,1,bhvādi,katTa~\,kattha,कत्थ,SlAGAyAm,ślāghāyām,श्लाघायाम्
01.0038,1,bhvādi,ata~,ata,अत,sAtatyagamane,sātatyagamane,सातत्यगमने
01.0039,1,bhvādi,citI~,citī,चिती,saMjYAne,saṃjñāne,संज्ञाने
01.0040,1,bhvādi,cyuti~r,cyutir,च्युतिर्,Asecane,āsecane,आसेचने
01.0041,1,bhvādi,Scuti~r,ścutir,श्चुतिर्,Asecane,āsecane,आसेचने
01.0042,1,bhvādi,Scyuti~r,ścyutir,श्च्युतिर्,kzaraRe,kṣaraṇe,क्षरणे
01.0043,1,bhvādi,jyutf~,jyutṛ,ज्युतृ,BAsane,bhāsane,भासने
01.0044,1,bhvādi,maTi~,mathi,मथि,hiMsAsaNkleSanayoH,hiṃsāsaṅkleśanayoḥ,हिंसासङ्क्लेशनयोः
01.0045,1,bhvādi,kuTi~,kuthi,कुथि,hiMsAsaNkleSanayoH,hiṃsāsaṅkleśanayoḥ,हिंसासङ्क्लेशनयोः
01.0046,1,bhvādi,puTi~,puthi,पुथि,hiMsAsaNkleSanayoH,hiṃsāsaṅkleśanayoḥ,हिंसासङ्क्लेशनयोः
01.0047,1,bhvādi,luTi~,luthi,लुथि,hiMsAsaNkleSanayoH,hiṃsāsaṅkleśanayoḥ,हिंसासङ्क्लेशनयोः
01.0048,1,bhvādi,manTa~,mantha,मन्थ,viloqane,viloḍane,विलोडने
01.0049,1,bhvādi,ziDa~,ṣidha,षिध,gatyAm,gatyām,गत्याम्
01.0050,1,bhvādi,ziDU~,ṣidhū,षिधू,SAstre (SAsane) mANgalye ca,śāstre śāsane māṅgalye ca,शास्त्रे (शासने) माङ्गल्ये च
01.0051,1,bhvādi,KAdf~,khādṛ,खादृ,BakzaRe,bhakṣaṇe,भक्षणे
01.0052,1,bhvādi,Kada~,khada,खद,sTErye hiMsAyAM BakzaRe ca,sthairye hiṃsāyāṃ bhakṣaṇe ca,स्थैर्ये हिंसायां भक्षणे च
01.0053,1,bhvādi,bada~,bada,बद,sTErye,sthairye,स्थैर्ये
01.0054,1,bhvādi,gada~,gada,गद,vyaktAyAM vAci,vyaktāyāṃ vāci,व्यक्तायां वाचि
01.0055,1,bhvādi,rada~,rada,रद,vileKane,vilekhane,विलेखने
01.0056,1,bhvādi,Rada~,ṇada,णद,avyakte Sabde,avyakte śabde,अव्यक्ते शब्दे
01.0057,1,bhvādi,arda~,arda,अर्द,gatO yAcane ca,gatau yācane ca,गतौ याचने च
01.0058,1,bhvādi,narda~,narda,नर्द,Sabde,śabde,शब्दे
01.0059,1,bhvādi,garda~,garda,गर्द,Sabde,śabde,शब्दे
01.0060,1,bhvādi,tarda~,tarda,तर्द,hiMsAyAm,hiṃsāyām,हिंसायाम्
01.0061,1,bhvādi,karda~,karda,कर्द,kutsite Sabde,kutsite śabde,कुत्सिते शब्दे
01.0062,1,bhvādi,Karda~,kharda,खर्द,dandaSUke (sarpadaMSe),dandaśūke sarpadaṃśe,दन्दशूके (सर्पदंशे)
01.0063,1,bhvādi,ati~,ati,अति,banDane,bandhane,बन्धने
01.0064,1,bhvādi,adi~,adi,अदि,banDane,bandhane,बन्धने
01.0065,1,bhvādi,idi~,idi,इदि,paramESvarye,paramaiśvarye,परमैश्वर्ये
01.0066,1,bhvādi,bidi~,bidi,बिदि,avayave,avayave,अवयवे
01.0067,1,bhvādi,Bidi~,bhidi,भिदि,avayave,avayave,अवयवे
01.0068,1,bhvādi,gaqi~,gaḍi,गडि,vadanEkadeSe,vadanaikadeśe,वदनैकदेशे
01.0069,1,bhvādi,Ridi~,ṇidi,णिदि,kutsAyAm,kutsāyām,कुत्सायाम्
01.0070,1,bhvādi,wunadi~,ṭunadi,टुनदि,samfdDO,samṛddhau,समृद्धौ
01.0071,1,bhvādi,cadi~,cadi,चदि,AhlAde dIptO ca,āhlāde dīptau ca,आह्लादे दीप्तौ च
01.0072,1,bhvādi,tradi~,tradi,त्रदि,cezwAyAm,ceṣṭāyām,चेष्टायाम्
01.0073,1,bhvādi,kadi~,kadi,कदि,AhvAne rodane ca,āhvāne rodane ca,आह्वाने रोदने च
01.0074,1,bhvādi,kradi~,kradi,क्रदि,AhvAne rodane ca,āhvāne rodane ca,आह्वाने रोदने च
01.0075,1,bhvādi,kladi~,kladi,क्लदि,AhvAne rodane ca,āhvāne rodane ca,आह्वाने रोदने च
01.0076,1,bhvādi,klidi~,klidi,क्लिदि,paridevane,paridevane,परिदेवने
01.0077,1,bhvādi,SunDa~,śundha,शुन्ध,SudDO,śuddhau,शुद्धौ
01.0078,1,bhvādi,SIkf~\,śīkṛ,शीकृ,secane,secane,सेचने
01.0079,1,bhvādi,sIkf~\,sīkṛ,सीकृ,secane,secane,सेचने
01.0080,1,bhvādi,lokf~\,lokṛ,लोकृ,darSane,darśane,दर्शने
01.0081,1,bhvādi,Slokf~\,ślokṛ,श्लोकृ,saNGAte,saṅghāte,सङ्घाते
01.0082,1,bhvādi,Srekf~\,śrekṛ,श्रेकृ,gatO,gatau,गतौ
01.0083,1,bhvādi,drekf~\,drekṛ,द्रेकृ,SabdotsAhayoH,śabdotsāhayoḥ,शब्दोत्साहयोः
01.0084,1,bhvādi,Drekf~\,dhrekṛ,ध्रेकृ,SabdotsAhayoH,śabdotsāhayoḥ,शब्दोत्साहयोः
01.0085,1,bhvādi,rekf~\,rekṛ,रेकृ,SaNkAyAm,śaṅkāyām,शङ्कायाम्
01.0086,1,bhvādi,sekf~\,sekṛ,सेकृ,gatO,gatau,गतौ
01.0087,1,bhvādi,srekf~\,srekṛ,स्रेकृ,gatO,gatau,गतौ
01.0088,1,bhvādi,sraki~\,sraki,स्रकि,gatO,gatau,गतौ
01.0089,1,bhvādi,Sraki~\,śraki,श्रकि,gatO,gatau,गतौ
01.0090,1,bhvādi,Slaki~\,ślaki,श्लकि,gatO,gatau,गतौ
01.0091,1,bhvādi,Saki~\,śaki,शकि,SaNkAyAm,śaṅkāyām,शङ्कायाम्
01.0092,1,bhvādi,aki~\,aki,अकि,lakzaRe,lakṣaṇe,लक्षणे
01.0093,1,bhvādi,vaki~\,vaki,वकि,kOwilye,kauṭilye,कौटिल्ये
01.0094,1,bhvādi,maki~\,maki,मकि,maRqane,maṇḍane,मण्डने
01.0095,1,bhvādi,kaka~\,kaka,कक,lOlye,laulye,लौल्ये
01.0096,1,bhvādi,kuka~\,kuka,कुक,AdAne,ādāne,आदाने
01.0097,1,bhvādi,vfka~\,vṛka,वृक,AdAne,ādāne,आदाने
01.0098,1,bhvādi,caka~\,caka,चक,tfptO pratIGAte ca,tṛptau pratīghāte ca,तृप्तौ प्रतीघाते च
01.0099,1,bhvādi,kaki~\,kaki,ककि,gatO,gatau,गतौ
01.0100,1,bhvādi,vaki~\,vaki,वकि,gatO,gatau,गतौ
01.0101,1,bhvādi,Svaki~\,śvaki,श्वकि,gatO,gatau,गतौ
01.0102,1,bhvādi,traki~\,traki,त्रकि,gatO,gatau,गतौ
01.0103,1,bhvādi,QOkf~\,ḍhaukṛ,ढौकृ,gatO,gatau,गतौ
01.0104,1,bhvādi,trOkf~\,traukṛ,त्रौकृ,gatO,gatau,गतौ
01.0105,1,bhvādi,zvazka~\,ṣvaṣka,ष्वष्क,gatO,gatau,गतौ
01.0106,1,bhvādi,vaska~\,vaska,वस्क,gatO,gatau,गतौ
01.0107,1,bhvādi,maska~\,maska,मस्क,gatO,gatau,गतौ
01.0108,1,bhvādi,wikf~\,ṭikṛ,टिकृ,gatO,gatau,गतौ
01.0109,1,bhvādi,wIkf~\,ṭīkṛ,टीकृ,gatO,gatau,गतौ
01.0110,1,bhvādi,tikf~\,tikṛ,तिकृ,gatO,gatau,गतौ
01.0111,1,bhvādi,tIkf~\,tīkṛ,तीकृ,gatO,gatau,गतौ
01.0112,1,bhvādi,raGi~\,raghi,रघि,gatO,gatau,गतौ
01.0113,1,bhvādi,laGi~\,laghi,लघि,gatO BojananivfttO ca,gatau bhojananivṛttau ca,गतौ भोजननिवृत्तौ च
01.0114,1,bhvādi,zvakka~\,ṣvakka,ष्वक्क,gatO,gatau,गतौ
01.0115,1,bhvādi,aGi~\,aghi,अघि,gatyAkzepe,gatyākṣepe,गत्याक्षेपे
01.0116,1,bhvādi,vaGi~\,vaghi,वघि,gatyAkzepe,gatyākṣepe,गत्याक्षेपे
01.0117,1,bhvādi,maGi~\,maghi,मघि,gatyAkzepe gatyAramBe kEtave ca,gatyākṣepe gatyārambhe kaitave ca,गत्याक्षेपे गत्यारम्भे कैतवे च
01.0118,1,bhvādi,rAGf~\,rāghṛ,राघृ,sAmarTye,sāmarthye,सामर्थ्ये
01.0119,1,bhvādi,lAGf~\,lāghṛ,लाघृ,sAmarTye,sāmarthye,सामर्थ्ये
01.0120,1,bhvādi,drAGf~\,drāghṛ,द्राघृ,sAmarTye AyAme ca,sāmarthye āyāme ca,सामर्थ्ये आयामे च
01.0121,1,bhvādi,DrAGf~\,dhrāghṛ,ध्राघृ,sAmarTye,sāmarthye,सामर्थ्ये
01.0122,1,bhvādi,SlAGf~\,ślāghṛ,श्लाघृ,katTane,katthane,कत्थने
01.0123,1,bhvādi,Pakka~,phakka,फक्क,nIcErgatO,nīcairgatau,नीचैर्गतौ
01.0124,1,bhvādi,taka~,taka,तक,hasane,hasane,हसने
01.0125,1,bhvādi,taki~,taki,तकि,kfcCrajIvane,kṛcchrajīvane,कृच्छ्रजीवने
01.0126,1,bhvādi,bukka~,bukka,बुक्क,BazaRe,bhaṣaṇe,भषणे
01.0127,1,bhvādi,Suka~,śuka,शुक,gatO,gatau,गतौ
01.0128,1,bhvādi,kaKa~,kakha,कख,hasane,hasane,हसने
01.0129,1,bhvādi,oKf~,okhṛ,ओखृ,SozaRAlamarTayoH,śoṣaṇālamarthayoḥ,शोषणालमर्थयोः
01.0130,1,bhvādi,rAKf~,rākhṛ,राखृ,SozaRAlamarTayoH,śoṣaṇālamarthayoḥ,शोषणालमर्थयोः
01.0131,1,bhvādi,lAKf~,lākhṛ,लाखृ,SozaRAlamarTayoH,śoṣaṇālamarthayoḥ,शोषणालमर्थयोः
01.0132,1,bhvādi,drAKf~,drākhṛ,द्राखृ,SozaRAlamarTayoH,śoṣaṇālamarthayoḥ,शोषणालमर्थयोः
01.0133,1,bhvādi,DrAKf~,dhrākhṛ,ध्राखृ,SozaRAlamarTayoH,śoṣaṇālamarthayoḥ,शोषणालमर्थयोः
01.0134,1,bhvādi,SAKf~,śākhṛ,शाखृ,vyAptO,vyāptau,व्याप्तौ
01.0135,1,bhvādi,SlAKf~,ślākhṛ,श्लाखृ,vyAptO,vyāptau,व्याप्तौ
01.0136,1,bhvādi,uKa~,ukha,उख,gatO,gatau,गतौ
01.0137,1,bhvādi,uKi~,ukhi,उखि,gatO,gatau,गतौ
