first_slp1,second_slp1,result_slp1,first_iast,second_iast,result_iast,category,sandhi_name,sutra
a,a,A,a,a,ā,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
a,A,A,a,ā,ā,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
a,i,e,a,i,e,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,I,e,a,ī,e,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,u,o,a,u,o,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,U,o,a,ū,o,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,f,ar,a,ṛ,ar,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,F,ar,a,ṝ,ar,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,x,al,a,ḷ,al,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,X,al,a,ḹ,al,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
a,e,E,a,e,ai,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
a,E,E,a,ai,ai,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
a,o,O,a,o,au,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
a,O,O,a,au,au,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
A,a,A,ā,a,ā,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
A,A,A,ā,ā,ā,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
A,i,e,ā,i,e,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,I,e,ā,ī,e,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,u,o,ā,u,o,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,U,o,ā,ū,o,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,f,ar,ā,ṛ,ar,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,F,ar,ā,ṝ,ar,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,x,al,ā,ḷ,al,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,X,al,ā,ḹ,al,ac-sandhi (vowel),guRa,6.1.87 AdguRaH
A,e,E,ā,e,ai,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
A,E,E,ā,ai,ai,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
A,o,O,ā,o,au,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
A,O,O,ā,au,au,ac-sandhi (vowel),vfdDi,6.1.88 vfdDireci
i,a,y a,i,a,y a,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
i,A,y A,i,ā,y ā,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
